comment	myLabel
对抗世界的不理解是累的，假装自己能治好是累的，强颜欢笑是累的，一个人面对巨大的绝望，是累的。所以最后，他们身心俱疲，选择离开这个世界。	1
走在路上，我觉得每个人都比我成功	1
走在路上，我觉得每个人都比自己更成功。	1
走在路上感觉每个人都比自己更成功	1
走在路上每个人都觉得自己比自己更成功	1
走在路上，你会发现每个人都比自己成功	1
Rice，每次有人自杀，都会有一群人留言说“祝你好运”，并祝你在天堂幸福。但很明显，我内心感到非常轻蔑。谁会不说一个死后自杀的人的坏事呢。这个世界和这些人真的很恶心。	1
食物，每次有人自杀，都有很多人留下信息告诉你该怎么做，并祝你在天堂幸福。但很明显，我的心很卑鄙，谁自杀了，死后没有告诉他任何错误？这个世界和这些人真的很恶心。	1
晚餐，每次有人自杀，都有很多人留下关于什么是好的信息，我祝你在天堂快乐。但心中有一种蔑视；哪位自杀者死后不说坏话？这个世界和这些人真的很恶心。	1
大米，每次有人自杀，都会有很多人留下一条信息，说什么是好的，祝你在天堂幸福。但很明显，心脏是如此可鄙，自杀的人死后不能说脏话。这个世界和这些人真的很恶心。	1
饭，每次有人自杀，都会有很多人留言说“走好”，祝你在天堂玩得开心。但是，心里鄙视，哪个自杀者死后不会被骂呢。这个世界和这些人，真恶心。	1
明天，我将被火化，我的生命将随风而散。最好喝醉后再睡着	1
明天人们的死亡将被火化，生命将被风真正驱散，最好喝醉了睡觉。	1
明天会有人火化，死亡会被风吹走，生命不会比醉酒更沉睡。	1
明天，人们真的会在风中死去，燃烧生命的云彩，但不会喝醉睡觉	1
明天火葬，人死了，真的随风飘散了人生吗？倒不如喝醉了睡觉比较好	1
临走前，我不明白你为什么自杀。现在，我羡慕你有勇气离开这个世界	1
在去吃饭之前，我不明白你为什么自杀，现在我羡慕你离开这个世界的勇气。	1
饭前我不明白你为什么自杀现在我想让你有勇气离开这个世界	1
我不明白你为什么在吃饭前自杀，但现在我羡慕你离开这个世界的勇气。	1
吃饭前我不理解你为什么自杀。现在我羡慕你有勇气离开这个世界。	1
这不是什么大的感觉，只是无聊。我睡不着，很无聊。我不想死，真的不想死	1
没有太多的感觉，很无聊，我睡不着，很无聊，我不想死，真的不想	1
没有太多的感觉，只是很无聊，我睡不着，很无聊，我不想死，真的不想死	1
感觉不好，只是很无聊，我睡不着，很无聊，我不想死，真的不	1
没什么感觉，只是很没意思，我睡不着，很无聊，我不想死，真的没有	1
如果你可怜的一面总是被别人看到怎么办	1
如果你可怜的一面总是被看到呢？	1
看到你可怜的一面总是被看到怎么样	1
你认为你可怜的一面总是被人看到吗？	1
你可怜的一面总是被人看到怎嚒样。	1
那些希望自己能离开这个世界的人，我知道这不是世界放弃我，我也不是放弃这个世界，因为我们谁都没有！	1
那些想自己离开这个世界的人，我知道不是世界抛弃了我，也不是我抛弃了这个世界，因为，我们都没有！	1
恨一个不能独自离开这个世界的人，我知道不是这个世界抛弃了我，也不是我抛弃了这个世界，因为我们都没有！	1
我想离开这个世界，我知道世界不会抛弃我，不要放弃这个世界，因为我们没有它！	1
恨自己不能离开这个世界的人，我知道，不是世界放弃了我，我也不是放弃了世界，因为，我们谁都没有拥有过！	1
现在有人感到很难过吗？他们想一起哀悼吗	1
现在有人很难过吗？你想一起哭吗？	1
现在有人在哀悼吗？你想一起哀悼吗？	1
谁是哀悼者，一起哀悼？	1
现在有人服丧吗，一起服丧吗	1
如果你真的不开心，那就去死吧。如果你想死，就去死吧。光说有什么用？[云蓓]	1
如果你真的不快乐，去死吧。如果你想死，就去死吧。独自一人说话有什么用？	1
当你真的不快乐时死去，当你想死时死去，悲伤有什么用？	1
如果你不喜欢某件事，解放它，如果它回到你身边，那就是你的，如果从来没有。	1
如果你真的不开心就去死吧如果你想死就去死吧没什么用的	1
我想申请一份证书，这样我就可以休长假了。我真的活不下去了，所以我会背着背包步行去中国。	1
如果我想获得证书，我可以申请一个长假。我真的活不下去了，所以我带着背包去了中国。	1
我想获得证书，我可以休假很长时间，那一天我活不下去了，背着书包去中国徒步旅行。	1
我想要一张卡片，我可以长假，那天我真的活不下去了，我在中国带着一个远足包。	1
因为我想办证件，所以我可以请很长时间的假，那天我真的活不下去了，我背着书包徒步旅行中国。	1
我上次来已经很久了。服药后，我的身体状况仍然很好。我明天出国了，今晚吃了两片安定，但我还是不觉得困。我想哭可能会让我感觉更好，但我一直在退缩，担心一滴眼泪会流出来，我再也无法控制了。我想还有三个月的药物治疗时间，所以我觉得有点松了一口气	1
我很久没有来了，服药后情况还不错，明天我今晚出国吃了两片安定药，或者我不困，我想我哭的时候会更好，但我一直在克制自己，担心一滴眼泪会流出来，我无法控制，想到还有三个月的药量要和我一起去，这有点令人放心。	1
我已经很久没来了，服药后，情况还不错，明天晚上出国吃了两粒安定或没有，我想我哭得更好，但一直担心只有一滴眼泪出来，它无法控制，只是想还有三个月的药物剂量跟我一起去，好像有点让人放心。	1
很久没有来，在服用了状态良好的药物后，明天晚上我去外面吃了两片稳定或不昏昏欲睡的药丸，我想我哭得可能更好，但我坚持了下来，担心一滴眼泪无法流出控制住它，我想有三个月的时间给药，我去那里休息一下	1
好久没来了，吃了药以后状态还不错，明天出国今晚吃两颗安定还是不困，我想我哭可能好点但一直忍耐，怕流一滴眼泪控制不住想想看，还有三个月剂量的药和我一起去也有点放心了	1
我喜欢很多事情，lol，追星，但渐渐地我甚至不想看比赛了，我也懒得做任何事情。我感到焦虑，失去了所有的兴趣。真的很可怕	1
我喜欢很多东西，LOL追逐明星，但一点一点地，我甚至不想看整个比赛，我觉得太懒了，做不到，我感到害怕，失去了所有的兴趣，这真的很可怕。	1
我喜欢很多东西lol明星追逐，但渐渐地，即使是比赛也不想看到一切懒惰，让人在失去兴趣的心中感到恐慌，真的很可怕	1
我喜欢球迷们的很多事情，但渐渐地，即使是游戏也不想看到所有的懒得让人感到恐慌，失去所有真正可怕的注意力	1
我喜欢很多东西lol追星但是渐渐连比赛都不想看了懒得做一切心里慌乱失去了所有的兴趣真的很可怕	1
好久没有吃晚饭了，我很羡慕你离开这个世界。	1
食物已经很久没有来了，我羡慕你离开这个世界。	1
晚餐已经很久没来了，嫉妒你离开了这个世界。	1
一顿没有引起嫉妒的长餐离开了这个世界。	1
饭好久没来了，我好羡慕你离开人世。	1
喝醉真是太好了。站起来为某人送行最后一程。那人死了，随风而逝	1
醉醺醺地站起来送人们去最后一次旅行是件好事。人们死了，随风散去。	1
醉酒，醒来愉快，最后一次旅行，死亡，散风	1
醉得太好了，无法起床，送别人在云风中进行死亡之旅	1
喝醉了真的起床了最后一次旅行的人死后随风飘散	1
现在，我对那些带着家人死去的人的心态有了更好的理解。太棒了。他们都死了，没有人会担心任何人。一切都结束了	1
现在我有点了解那些导致家人死亡的人的心态，好吧，他们都死了，没有人会担心谁。	1
现在，稍微了解一下那些把一个家庭带到死亡的人的心态是多么好，他们都死了，没有人会一眼就抓住谁。	1
现在与家人达成了一点谅解，人们会死在良好的精神状态下，哦，没人在乎谁死了	1
现在我稍微理解了带着家人死去的人的心情。那很好。大家死了都没人在乎。	1
比离开这个世界更难的是留下来	1
比离开这个世界更难的是留下来	1
比离开这个世界更难，留下来	1
比离开这个世界更难的是生存。	1
比离开这个世界更难留下	1
我每天都很忙，所以不敢给我分配新的工作。受训者很快就要来了。如果他们做得比我好，他们可能会取代我，并要求我表现出色。管理培训生这两天来了，一到工资6000。经理让我在给我压力的同时带领他们。我没有参加学校的招聘，所以我只能呆在那里。尽管我不是一个有半年工作经验的应届毕业生，但我没有信心换工作。	1
说我每天都很忙，我不敢安排一份新工作。关培生马上就来了，如果他比我做得更好，他可以代替我，让我表现得很好。关培生这两天来了，一进来工资就有6000元。经理在让我带他们去的时候给了我压力。我没有参加学校的招聘，我只能如此窒息。如果我没有半年的糟糕经历，我就没有信心换工作。	1
我说我每天都很忙，不敢找新工作。派普森马上就来了，如果他比我好，他可以取代我，让我表现得很好。这两天来了，一进去就付了6000美元。经理让我接受他们，给我施加压力。我没有上学，但我还是听天由命。半年的非新生经验，我也没有信心十足。	1
我不敢为自己安排一份新工作，因为我每天都很忙。关佩生马上就来了，如果他比我好，他可能会取代我，我希望你表现得好。这是我出生的日子，薪水6000美元。经理对我施加了压力，并要求我从他们那里拿走。我没有上学，所以我可以留下来。半年的经验，就像贫穷的学生一样，我不确定工作之间的流动性。	1
我天天说这么忙，都不敢安排新工作。管培生很快就来了，如果比我做得好，也许可以代替我，但我要好好表现。这两天管培生来了，一进来工资6000。老板一边让我带她们，一边给我施加压力。我没有参加学校的招生，只能这样忍着。我也没有自信半年的非应届毕业生换工作。	1
我们一起私奔吧	1
让我们一起跑吧。	1
我们一起去吧。	1
让我们一起逃离吧。	1
一起私奔吧	1
离开这个世界是最遥远的	1
离开这个世界是最遥远的	1
离开这个世界是最远的	1
离开这个世界更远	1
离开这个世界是最遥远的	1
我真的很想去蹦极，尝试一下提前死去的感觉	1
我特别想去蹦极，提前尝到濒临死亡的感觉。	1
我特别想蹦极，我想提前尝试死亡边缘的感觉	1
我想跳绳，试图获得早逝的感觉。	1
我特别想去蹦极，尝试一下濒死的感觉	1
未来，如果你想买一张深夜的飞机票，体验一下独自一人在凌晨徘徊在路上的孤独	1
未来，我会在深夜买票，体验一个人早上在路上漂浮的孤独。	1
稍后，在深夜购买机票将享受一个清晨漂浮在路上的男人的孤独	1
晚些时候，在一天凌晨的深夜购买机票，有人在路上独自漫步	1
以后要买深夜的机票，一个人体会凌晨在路上飘荡的孤独	1
你明天就要走了，恐怕以后再也见不到你了。也许这是真的，你甚至不知道我喜欢你，这太令人难过了。	1
你明天就要走了，我怕以后再也见不到你了，也许这是真的，那么悲伤，你还不知道我喜欢你。	1
你明天就要走了，恐怕再也见不到你了，也许真的很伤心，你还不知道我爱你。	1
明天他将离开，我害怕以后再见到你，也许真的很伤心，你不知道我和你一样。	1
你明天就要出发了。我怕我再也见不到你啦。也许是真的，但我很难过。你还不知道我喜欢你。	1
蹲在街角抽烟的人，在公园里孤独地荡秋千的人，深夜在夜店喝醉呕吐的人，公交车上突然红了眼眶的人，路边长椅上拿着电话哭泣的人，因家暴而默默哭泣的隔壁人，一个仍然从高楼的栏杆上往下看的人，一个独自躺在床上辗转反侧的人，我们一起度过一个美好的夜晚。	1
蹲在角落里抽烟的人，独自在公园里荡秋千的人，深夜在夜总会喝醉呕吐的人，公共汽车上突然红眼的人，在路边银行用手机哭泣的人，为隔壁的家庭暴力默默哭泣的人，在高楼栏杆旁向下看的人，不能一个人睡在床上的人，晚上好吗？	1
蹲在街角抽烟的人，在公园里独自摇摆的人，深夜醉酒呕吐的人，在公共汽车上黑眼圈突然变红的人，在路边长凳上用手机哭泣的人，在家庭暴乱旁默默哭泣的人，从高楼栏杆往下看的人，独自在床上滚动睡觉的人，我们在一起度过了一个美好的夜晚。	1
坐在街上吸烟的男人，独自在花园里摇摆的男人，深夜在夜总会喝醉呕吐的男人，突然在公共汽车上红眼睛的男人，用手机哭泣的男人路边板凳上的牢房里，一个因附近家庭暴力而无声哭泣的人，一个仍在高楼栏杆上低头的人，一个独自躺在滚动床上睡觉的人，一起度过了一个晚安。	1
蹲在街角抽烟的人，在公园寂寞地荡秋千的人，深夜在夜店喝醉呕吐的人，在公共汽车里突然眼圈变红的人，在路边的长椅上拿着手机哭的人，在旁边受到DV而默默哭泣的人在楼栏旁磨磨蹭蹭地往下看的人，一个人躺在床上辗转难眠的人，一起晚安。	1
如果我能有钱，我会坚决离开这个地方	1
如果我能有一笔钱，我会坚决离开这里。	1
如果有钱，我会离开这里。	1
如果有任何钱，我肯定会离开这里	1
如果有钱，我坚决离开这里	1
